link_id,river_velocity1,lambda1,lambda2,max_storage,infiltration,percolation,surface_velocity,tr_subsurface,tr_groundwater,temp_threshold,melt_factor
484666,0.75,0,0,100,5,2,0.2,3,100,0,5
484227,0.75,0,0,100,5,2,0.2,3,100,0,5
495602,0.75,0,0,100,5,2,0.2,3,100,0,5
495603,0.75,0,0,100,5,2,0.2,3,100,0,5
485452,0.75,0,0,100,5,2,0.2,3,100,0,5
495765,0.75,0,0,100,5,2,0.2,3,100,0,5
480908,0.75,0,0,100,5,2,0.2,3,100,0,5
493116,0.75,0,0,100,5,2,0.2,3,100,0,5
493117,0.75,0,0,100,5,2,0.2,3,100,0,5
493274,0.75,0,0,100,5,2,0.2,3,100,0,5
466798,0.75,0,0,100,5,2,0.2,3,100,0,5
481740,0.75,0,0,100,5,2,0.2,3,100,0,5
484500,0.75,0,0,100,5,2,0.2,3,100,0,5
485106,0.75,0,0,100,5,2,0.2,3,100,0,5
486563,0.75,0,0,100,5,2,0.2,3,100,0,5
482405,0.75,0,0,100,5,2,0.2,3,100,0,5
484667,0.75,0,0,100,5,2,0.2,3,100,0,5
490825,0.75,0,0,100,5,2,0.2,3,100,0,5
487592,0.75,0,0,100,5,2,0.2,3,100,0,5
485107,0.75,0,0,100,5,2,0.2,3,100,0,5
483489,0.75,0,0,100,5,2,0.2,3,100,0,5
492735,0.75,0,0,100,5,2,0.2,3,100,0,5
466145,0.75,0,0,100,5,2,0.2,3,100,0,5
470431,0.75,0,0,100,5,2,0.2,3,100,0,5
475333,0.75,0,0,100,5,2,0.2,3,100,0,5
495951,0.75,0,0,100,5,2,0.2,3,100,0,5
473417,0.75,0,0,100,5,2,0.2,3,100,0,5
472498,0.75,0,0,100,5,2,0.2,3,100,0,5
497369,0.75,0,0,100,5,2,0.2,3,100,0,5
497370,0.75,0,0,100,5,2,0.2,3,100,0,5
497371,0.75,0,0,100,5,2,0.2,3,100,0,5
476307,0.75,0,0,100,5,2,0.2,3,100,0,5
476916,0.75,0,0,100,5,2,0.2,3,100,0,5
465419,0.75,0,0,100,5,2,0.2,3,100,0,5
466943,0.75,0,0,100,5,2,0.2,3,100,0,5
472678,0.75,0,0,100,5,2,0.2,3,100,0,5
470198,0.75,0,0,100,5,2,0.2,3,100,0,5
475823,0.75,0,0,100,5,2,0.2,3,100,0,5
491089,0.75,0,0,100,5,2,0.2,3,100,0,5
467769,0.75,0,0,100,5,2,0.2,3,100,0,5
471834,0.75,0,0,100,5,2,0.2,3,100,0,5
490822,0.75,0,0,100,5,2,0.2,3,100,0,5
490976,0.75,0,0,100,5,2,0.2,3,100,0,5
476608,0.75,0,0,100,5,2,0.2,3,100,0,5
490823,0.75,0,0,100,5,2,0.2,3,100,0,5
481733,0.75,0,0,100,5,2,0.2,3,100,0,5
482951,0.75,0,0,100,5,2,0.2,3,100,0,5
469350,0.75,0,0,100,5,2,0.2,3,100,0,5
471351,0.75,0,0,100,5,2,0.2,3,100,0,5
472499,0.75,0,0,100,5,2,0.2,3,100,0,5
471535,0.75,0,0,100,5,2,0.2,3,100,0,5
491233,0.75,0,0,100,5,2,0.2,3,100,0,5
494492,0.75,0,0,100,5,2,0.2,3,100,0,5
494813,0.75,0,0,100,5,2,0.2,3,100,0,5
482406,0.75,0,0,100,5,2,0.2,3,100,0,5
496737,0.75,0,0,100,5,2,0.2,3,100,0,5
495020,0.75,0,0,100,5,2,0.2,3,100,0,5
491549,0.75,0,0,100,5,2,0.2,3,100,0,5
494281,0.75,0,0,100,5,2,0.2,3,100,0,5
494010,0.75,0,0,100,5,2,0.2,3,100,0,5
474998,0.75,0,0,100,5,2,0.2,3,100,0,5
467757,0.75,0,0,100,5,2,0.2,3,100,0,5
496736,0.75,0,0,100,5,2,0.2,3,100,0,5
494011,0.75,0,0,100,5,2,0.2,3,100,0,5
